AAMI,AAMPC,AAUG,ACAZ,ACELX,ACIP,ACOL,ACTX,ACXM,ACXT,AERT,AESBL,AFOX,AGEN,AIMP,AMEC,AMER,ANIT,ATAZ,ATEM,ATOB,ATRI,ACEFP
AAMI,1091.0,-0.0003948992347001,0.0099051091862,0.0066353150474525,0.0005648796833618,0.0085688147651701,0.0021794988684867,0.0086867784849899,0.0036211859829554,0.0045092835176652,0.000410665122154,-0.0047372835308232,-0.0053561222883009,0.0140732695238418,-5.8561350285770574e-05,0.002987111956092,0.0003158577560794,0.0012960365065569,0.021214500000529,0.0070806209258443,0.0238293165986387,0.0050003918098995,0.010510372595434
AAMPC,5906.0,600.0,-0.2556420706594726,0.0707772267287477,-0.1427125746759391,0.1018579114460011,-0.0111179677610815,0.098631266811644,,-0.6520899080005331,-0.0235716763367183,-0.2172906535745815,-0.6321609660102316,0.1066199941666606,,-0.0238250341544304,0.0012680189738038,-0.0468150749904454,-0.0912517174756539,-0.0831605159568349,0.1809045868899274,0.094652235144019,-0.089312977383057
AAUG,11962.0,5942.0,7096.0,-0.027724046901757,0.2062760981497701,0.140312510989195,0.0271901605737969,-0.0639707063907421,-0.0539578356683936,0.2065392984384905,0.0072319942541839,0.1652747071852947,0.2222846286474248,0.1001079556155664,-0.0009743011175022,0.0590836883651043,0.0033841460197513,0.0329356221942763,0.2745191488616628,0.0612670103129837,0.0609934231270716,0.1209828115406655,0.155604785599402
ACAZ,11642.0,5777.0,11681.0,1052.0,0.4552233053205043,0.2041454665541718,-0.0114108968777402,0.7006640028513368,0.4985350586209803,0.023342802981557,0.0123572243741342,-0.609514333561865,0.0102412115117143,0.119389427425127,0.0018136629089667,-0.0468498674751934,0.00160312637053,0.00751879062426,0.1294519467994052,0.0630727677391468,0.2266579584312257,0.0780299549995129,0.5918838139655379
ACELX,12005.0,5979.0,93618.0,11722.0,7103.0,0.2337389862787455,-0.013468384463636,0.4789056095645091,0.5048500333438444,0.1797194689105395,0.0063967340633579,-0.3180639164931512,0.1393950287402491,0.1620832005827336,0.001029993828311,-0.0454065280763903,-6.537923320630573e-05,0.0471427937310539,0.0358511445887634,0.0363715854417803,0.0342016453552375,0.1421482162435454,0.2509254798585349
ACIP,11992.0,5974.0,93507.0,11714.0,93568.0,7115.0,-0.0111232948667364,0.2123641313555367,0.3655625897149279,-0.057281258379956,0.0024789759507867,-0.2543986003195606,-0.1533084576860239,0.1984291614393096,0.001907362906496,-0.0317844336002911,0.0005595333453257,0.0434786199457001,0.1029344148804076,0.0413104216262422,0.4403870840004091,0.2230650884167542,0.1680975238358666
ACOL,9693.0,4768.0,9726.0,9526.0,9758.0,9745.0,854.0,-0.0148386464480742,-0.1060666442314141,0.0140674588039193,0.0054685580501362,0.0115006973276539,-0.0050659760301383,-0.0069925710218996,-0.0007684341395101,0.0123799676576157,-0.0001795508660388,0.0190454824243818,0.0194846599119427,0.0519484027371155,0.0033909767860203,-0.003586276228536,-0.1407891769391716
ACTX,11787.0,5831.0,11831.0,11565.0,11872.0,11860.0,9604.0,1076.0,0.5124665203746191,-0.0199692165172774,0.0112644782522652,-0.619708040196344,-0.0400611563393475,0.0938995489848044,0.0017144941736863,-0.0520197299847188,0.0019830641089526,0.0027106646454357,0.1146070911250926,0.0550097545870924,0.2093062865236174,0.0930273906352345,0.6123722238259718
ACXM,1212.0,0.0,1245.0,1222.0,1241.0,1309.0,1210.0,1215.0,0.0,0.1791636910003742,,-0.3011894208524533,,0.2454206186011468,0.0011255899314896,0.0051260407045087,0.0034987371445207,0.0613059275237064,0.0672311472417588,0.2566536088119689,0.1110491638178886,0.1414197871920534,0.5088661375916609
ACXT,10989.0,5408.0,11032.0,10762.0,11064.0,11057.0,8910.0,10868.0,1216.0,594.0,0.0257438326267227,0.2320037977789062,,-0.0749087174508099,-0.0015203774418333,0.004578395150592,0.0012329075573721,0.0386472311077269,0.0847145305630213,0.0956673318443702,-0.1343451878412841,-0.0933234032326588,0.1118566508607381
AERT,10893.0,5458.0,11025.0,10612.0,11055.0,11019.0,8862.0,10766.0,0.0,9966.0,1064.0,-0.0006017031403989,0.0206096667881707,-0.0003933345168817,,0.0082622001160255,0.0039175616976323,0.0040798888737009,0.0204053419380119,0.0211688758937259,-0.0176367574242225,0.0026311287473943,0.027001741729401
AESBL,9130.0,5690.0,9391.0,8865.0,9429.0,9395.0,7283.0,9023.0,693.0,8354.0,8638.0,923.0,0.2143902046236314,-0.1395393156326122,-0.0026556778560707,0.0490421115113137,-0.0007296749784133,0.0031055902159608,-0.0775771968364017,-0.0215665818856646,-0.2660324338762095,-0.1565376775606844,-0.4325971854990819
AFOX,953.0,521.0,1036.0,910.0,1034.0,1013.0,796.0,948.0,0.0,0.0,1070.0,901.0,0.0,-0.1448287863718818,,0.0439346254632687,-0.0032329251162894,0.0004298007777033,0.0974075293748845,0.0951023252186941,,-0.0915390530591164,
AGEN,11967.0,5930.0,77571.0,11679.0,77609.0,77681.0,9726.0,11826.0,1302.0,11028.0,10984.0,9297.0,1001.0,7004.0,-0.002018562883496,-0.0181655491954886,0.0040913231847451,0.031388315559786,0.0550242913256415,0.0351422859833878,0.5959964787768806,0.1502254424767558,0.2140104239343994
AIMP,1199.0,0.0,1204.0,1207.0,1205.0,1208.0,1202.0,1200.0,1202.0,1203.0,0.0,685.0,0.0,1200.0,0.0,-0.0005394977509403,-2.486170673481354e-05,-0.0010568773365572,-0.0015648316895085,,-0.0007135224768284,0.0013801571113964,0.0015083775326697
AMEC,11230.0,5792.0,11278.0,10943.0,11323.0,11303.0,9131.0,11087.0,643.0,10289.0,10481.0,8932.0,954.0,11272.0,636.0,1085.0,0.0010784796327132,0.0059250910308179,0.092269386168369,0.0286305762975148,-0.0029188129655971,0.0158222878661825,-0.0597897323222483
AMER,11959.0,5927.0,12137.0,11684.0,12173.0,12140.0,9711.0,11832.0,1216.0,11022.0,11107.0,9310.0,1086.0,12083.0,1204.0,11264.0,1103.0,-0.0004791703280898,0.0033600069812502,0.0015074482201115,0.0045452616797187,0.0018658501177807,0.0018360126104991
ANIT,11997.0,5969.0,93524.0,11715.0,93592.0,93571.0,9761.0,11866.0,1241.0,11062.0,11029.0,9397.0,1012.0,77616.0,1205.0,11316.0,12146.0,7080.0,0.0419878094534732,0.0144924976185405,0.0915127598271202,0.0349076941392335,0.0469213290488814
ATAZ,11431.0,5704.0,11588.0,11182.0,11607.0,11639.0,9328.0,11324.0,1287.0,10554.0,10581.0,8869.0,1027.0,11610.0,1204.0,10732.0,11638.0,11578.0,1042.0,0.0971932553050095,0.1688399756640149,0.0553348917922324,-0.0527922551969691
ATEM,10913.0,5476.0,11035.0,10640.0,11072.0,11096.0,8852.0,10781.0,503.0,10032.0,10906.0,8612.0,964.0,11065.0,0.0,10510.0,11053.0,11053.0,10630.0,1062.0,0.1010875002856936,0.021757398312163,0.0495181222578915
ATOB,1416.0,690.0,1412.0,1377.0,1414.0,1418.0,1254.0,1400.0,638.0,1028.0,768.0,1052.0,0.0,1415.0,636.0,1401.0,1415.0,1414.0,1345.0,666.0,0.0,0.2739487597278753,0.0551159754507175
ATRI,12025.0,5985.0,93595.0,11744.0,93651.0,93640.0,9776.0,11895.0,1244.0,11091.0,11056.0,9422.0,1014.0,77740.0,1205.0,11341.0,12174.0,93664.0,11613.0,11081.0,1416.0,7125.0,0.0996575315355368
ACEFP,1465.0,582.0,17362.0,1472.0,17352.0,17372.0,1418.0,1469.0,1206.0,1469.0,696.0,927.0,0.0,1592.0,1204.0,902.0,1469.0,17377.0,1474.0,692.0,634.0,17319.0,0.0
